device1,port1,device2,port2,device2,port3,device4,port4,device5,port5,device6,port6,Attenuation,device7,port7,device8,poert8,device9,port9,device10,port10
,,,,,,,,OctoBox_1,Port15,JFW Attenuator,Input38,255,JFW Attenuator,Output38,OctoBox_4,Port11,,,,
,,,,,,,,OctoBox_2,Port12,JFW Attenuator,Input39,255,JFW Attenuator,Output39,OctoBox_3,Port12,,,,
,,,,,,,,OctoBox_2,Port13,JFW Attenuator,Input40,255,JFW Attenuator,Output40,OctoBox_3,Port13,,,,
,,,,,,,,OctoBox_2,Port14,JFW Attenuator,Input41,255,JFW Attenuator,Output41,OctoBox_4,Port12,,,,
,,,,,,,,OctoBox_2,Port15,JFW Attenuator,Input42,255,JFW Attenuator,Output42,OctoBox_4,Port13,,,,
,,,,,,,,OctoBox_3,Port14,JFW Attenuator,Input43,255,JFW Attenuator,Output43,OctoBox_4,Port14,,,,
,,,,,,,,OctoBox_3,Port15,JFW Attenuator,Input44,255,JFW Attenuator,Output44,OctoBox_4,Port15,,,,


STC,DFS,4 to 1 - 0,Input1,OctoBox_1,Port1,4 to 1 - 0,Output1,,,,,NA,,,,,,,,
STC,DFS,4 to 1 - 0,Input1,OctoBox_2,Port1,4 to 1 - 0,Output2,,,,,NA,,,,,,,,
STC,DFS,4 to 1 - 0,Input1,OctoBox_3,Port1,4 to 1 - 0,Output3,,,,,NA,,,,,,,,
STC,DFS,4 to 1 - 0,Input1,OctoBox_4,Port1,4 to 1 - 0,Output4,,,,,NA,,,,,,,,
STC,1:01,Vertex-2,1-I/O1,Vertex-2,1-OUT2,2 to 1 - 1,Output2,2 to 1 - 1,Input1,OctoBox_4,Port2,NA,,,,,,,,
STC,1:02,Vertex-2,1-I/O3,Vertex-2,1-OUT4,2 to 1 - 2,Output2,2 to 1 - 2,Input1,OctoBox_4,Port3,NA,,,,,,,,
STC,1:03,Vertex-2,2-I/O1,Vertex-2,2-OUT2,2 to 1 - 3,Output2,2 to 1 - 3,Input1,OctoBox_4,Port4,NA,,,,,,,,
STC,1:04,Vertex-2,2-I/O3,Vertex-2,2-OUT4,2 to 1 - 4,Output2,2 to 1 - 4,Input1,OctoBox_4,Port5,NA,,,,,,,,
STC,1:05,Vertex-2,3-I/O1,Vertex-2,3-OUT2,2 to 1 - 5,Output2,2 to 1 - 5,Input1,OctoBox_4,Port6,NA,,,,,,,,
STC,1:06,Vertex-2,3-I/O3,Vertex-2,3-OUT4,2 to 1 - 6,Output2,2 to 1 - 6,Input1,OctoBox_4,Port7,NA,,,,,,,,
STC,1:07,Vertex-2,4-I/O1,Vertex-2,4-OUT2,2 to 1 - 7,Output2,2 to 1 - 7,Input1,OctoBox_4,Port8,NA,,,,,,,,
STC,1:08,Vertex-2,4-I/O3,Vertex-2,4-OUT4,2 to 1 - 8,Output2,2 to 1 - 8,Input1,OctoBox_4,Port9,NA,,,,,,,,
